CODE,CPV_HU,CPV_EN
31712344-3,Schottky-diódák,Schottky diodes
31712345-0,Alagútdiódák,Tunnel diodes
31712346-7,Fényérzékeny diódák,Photosensitive diodes
31712347-4,Teljesítménydiódák,Power or solar diodes
31712348-1,Lézerdiódák,Laser diodes
31712349-8,Rádiófrekvenciás (RF-) diódák,Radio frequency (RF) diodes
31712350-8,Tranzisztorok,Transistors
31712351-5,Fényérzékeny transzisztorok,Photo sensitive transistors
31712352-2,Térvezérelt tranzisztorok (FET),Field effect transistors (FET)
31712353-9,Fémoxid-záróréteges térvezérlésű tranzisztorok (MOSFET),Metal oxide field effect transistors (MOSFET)
31712354-6,Tranzisztorlapkák,Transistor chips
31712355-3,Bipoláris darlington vagy rádiófrekvenciás (RF-) tranzisztorok,Bipolar darlington or radio frequency (RF) transistors
31712356-0,Egyátmenetű tranzisztorok,Unijunction transistors
31712357-7,Szigetelt vezérlőelektródos bipoláris tranzisztorok (IGBT),Insulated gate bipolar transistors (IGBT)
31712358-4,Záróréteges térvezérlésű tranzisztorok (JFET),Junction field effect transistors (JFET)
31712359-1,Bipoláris tranzisztorok (BJT),Bipolar junction transistors (BJT)
31712360-1,Szerelt piezoelektromos kristályok,Mounted piezo-electric crystals
31720000-9,Elektromechanikai berendezések,Electromechanical equipment
31730000-2,Elektrotechnikai berendezések,Electrotechnical equipment
31731000-9,Elektrotechnikai kellékek,Electrotechnical supplies
31731100-0,Modulok,Modules
32000000-3,"Rádiós, televíziós, hírközlési, távközlési és kapcsolódó berendezések","Radio, television, communication, telecommunication and related equipment"
32200000-5,"Rádió-távbeszélő, rádiótávíró, illetve rádiós és televíziós műsorszórási adóberendezések","Transmission apparatus for radiotelephony, radiotelegraphy, radio broadcasting and television"
32210000-8,Műsorszóró berendezések,Broadcasting equipment
32211000-5,Műsorszóró produkciós berendezések,Broadcast production equipment
32220000-1,Televíziós adókészülékek vevőkészülék nélkül,Television transmission apparatus without reception apparatus
32221000-8,Rádiófrekvenciás irányadók,Radio beacons
32222000-5,Videojel-kódoló gépek,Video-signal coding machines
32223000-2,Videojel-adókészülékek,Video transmission apparatus
32224000-9,Televíziós adókészülékek,Television transmission apparatus
32230000-4,Rádióadó-készülékek vevőkészülékkel,Radio transmission apparatus with reception apparatus
32231000-1,Zárt láncú televíziós berendezések,Closed-circuit television apparatus
32232000-8,Videokonferencia-berendezések,Video-conferencing equipment
32233000-5,Rádiófrekvenciás átjátszóállomások,Radio-frequency booster stations
32234000-2,Zárt láncú televíziós kamerák,Closed-circuit television cameras
32235000-9,Zárt láncú felügyeleti rendszerek,Closed-circuit surveillance system
32236000-6,Rádiótelefonok,Radio telephones
32237000-3,Kézi adóvevő készülékek,Walkie-talkies
32240000-7,Televíziós kamerák,Television cameras
32250000-0,Mobiltelefonok,Mobile telephones
32251000-7,Autótelefonok,Car telephones
32251100-8,Szett kézhasználat nélküli telefonáláshoz,Hands-free set
32252000-4,GSM-telefonok,GSM telephones
32252100-5,Kéz nélkül használható mobiltelefonok,Hands-free mobile telephones
32252110-8,Kéz nélkül használható mobiltelefonok (vezeték nélküli),Hands-free mobile telephones (wireless)
32260000-3,Adatátviteli berendezések,Data-transmission equipment
32270000-6,Digitális átviteli berendezések,Digital transmission apparatus
32300000-6,"Televízió- és rádió-vevőkészülék, valamint hang- és videofelvevő és -visszajátszó berendezések","Television and radio receivers, and sound or video recording or reproducing apparatus"
32310000-9,Rádióadás vevőkészülékek,Radio broadcast receivers
32320000-2,Televíziós és audiovizuális berendezések,Television and audio-visual equipment
32321000-9,Televízióműsor-sugárzó berendezések,Television projection equipment
32321100-0,Filmfelvevő berendezések,Film equipment
32321200-1,Audiovizuális berendezések,Audio-visual equipment
32321300-2,Audiovizuális anyagok,Audio-visual materials
32322000-6,Multimédiás berendezések,Multimedia equipment
32323000-3,Videomonitorok,Video monitors
32323100-4,Színes videomonitorok,Colour video monitors
32323200-5,Fekete-fehér videomonitorok,Monochrome video monitors
32323300-6,Videoberendezések,Video equipment
32323400-7,Videolejátszó berendezések,Video-playback equipment
32323500-8,Videós felügyeleti rendszerek,Video-surveillance system
32324000-0,Televíziók,Televisions
32324100-1,Színes televíziók,Colour televisions
32324200-2,Fekete-fehér televíziókészülékek,Monochrome televisions
32324300-3,Televíziós berendezések,Television equipment
32324310-6,Műholdvevő antennák,Satellite antennas
32324400-4,Televízióantennák,Television aerials
32324500-5,Videóhangolók,Video tuners
32324600-6,Dekóderek digitális tévéhez,Digital-TV boxes
32330000-5,Hang- és videofelvevő és -visszajátszó berendezések,"Apparatus for sound, video-recording and reproduction"
32331000-2,"Lemeztányérok, forgókorongok",Turntables
32331100-3,Lemezjátszók,Record players
32331200-4,Kazettás magnók,Cassette players
32331300-5,Hangvisszaadó készülékek,Sound-reproduction apparatus
32331500-7,Felvevők,Recorders
32331600-8,MP3-lejátszók,MP3 player
32332000-9,Mágnesszalagos rögzítőkészülékek,Magnetic tape recorders
32332100-0,Diktafonok,Dictating machines
32332200-1,Telefonos üzenetrögzítő készülékek,Telephone-answering machines
32332300-2,Hangrögzítők,Sound recorders
32333000-6,Videofelvevő és -visszajátszó berendezések,Video recording or reproducing apparatus
32333100-7,Videofelvevők,Video recorders
32333200-8,"Videokamerák, kamkorderek",Video camcorders
32333300-9,Video-visszajátszó berendezések,Video-reproducing apparatus
32333400-0,Videolejátszók,Video players
32340000-8,Mikrofonok és hangszórók,Microphones and loudspeakers
32341000-5,Mikrofonok,Microphones
32342000-2,Hangszórók,Loudspeakers
32342100-3,Fejhallgatók,Headphones
32342200-4,Fülhallgatók,Earphones
32342300-5,Mikrofon és hangszóró készletek,Microphones and speaker sets
32342400-6,Akusztikus eszközök,Acoustic devices
32342410-9,Hangfeldolgozó berendezések,Sound equipment
32342411-6,Minihangfalak,Mini speakers
32342412-3,Hangfalak,Speakers
32342420-2,Hangkeverő asztalok stúdióba,Studio mixing console
32342430-5,Beszédtömörítő rendszerek,Speech-compression system
32342440-8,"Hangos üzenetküldő levelezőrendszerek, hangpostarendszerek",Voice-mail system
32342450-1,Hangfelvevők,Voice recorders
32343000-9,Erősítők,Amplifiers
32343100-0,Hangfrekvenciás erősítők,Audio-frequency amplifiers
32343200-1,Megafonok,Megaphones
32344000-6,Rádió-távbeszélő vagy rádiótávíró vevőkészülékek,Reception apparatus for radiotelephony or radiotelegraphy
32344100-7,Hordozható személyhívók,Portable receivers for calling and paging
32344110-0,"Hangfelvevő rendszerek, diktafonok",Voice-logging system
32344200-8,Rádióvevők,Radio receivers
32344210-1,Rádiós felszerelések,Radio equipment
32344220-4,Rádiós személyhívók,Radio pagers
32344230-7,Rádióállomások,Radio stations
32344240-0,Rádiótorony,Radio tower
32344250-3,Rádióberendezések,Radio installations
32344260-6,Rádiós és multiplex berendezések,Radio and multiplex equipment
32344270-9,Rádiós és telefonos vezérlőrendszerek,Radio and telephone control system
32344280-2,Hordozható rádiók,Portable radios
32350000-1,Alkatrészek hang- és videoberendezéshez,Parts of sound and video equipment
32351000-8,Tartozékok hang- és videoberendezéshez,Accessories for sound and video equipment
32351100-9,Videoszerkesztő berendezések,Video-editing equipment
32351200-0,Képernyők,Screens
32351300-1,Tartozékok audioberendezésekhez,Audio equipment accessories
32351310-4,Audiokazetták,Audio cassettes
32352000-5,Antennák és tükörsugárzók,Aerials and reflectors
32352100-6,Rádió- és radarberendezések alkatrészei,Parts of radio and radar equipment
32352200-7,Alkatrészek és tartozékok radarhoz,Radar spare parts and accessories
32353000-2,Hangdokumentumok,Sound recordings
32353100-3,Hanglemezek,Records
32353200-4,Zenei kazetták,Music cassettes
32354000-9,Filmtermékek,Film products
32354100-0,Radiológiai filmek,Radiology film
32354110-3,Röntgenfilmek,X-ray film
32354120-6,Kék diazofilmek,Blue diazo film
32354200-1,Mozgófényképészeti filmek,Cinematographic film
32354300-2,Fényképészeti filmek,Photographic film
32354400-3,Polaroid filmek,Instant-print film
32354500-4,Videofilmek,Video films
32354600-5,Videokazetták,Video cassettes
32354700-6,Videoszalagok,Video tapes
32354800-7,Háztartási fólia,Cling film
32360000-4,Duplex távbeszélő rendszerek,Intercom equipment
32400000-7,Hálózatok,Networks
32410000-0,Helyi hálózat (LAN),Local area network
32411000-7,Token-ring hálózat,Token-ring network
32412000-4,Hírközlési hálózat,Communications network
32412100-5,Távközlési hálózat,Telecommunications network
32412110-8,Internethálózat,Internet network
32412120-1,Intranethálózat,Intranet network
32413000-1,Integrált hálózat,Integrated network
32413100-2,Hálózati útválasztók (router),Network routers
32415000-5,Ethernet hálózat,Ethernet network
32416000-2,ISDN hálózat,ISDN network
32416100-3,ISDX hálózat,ISDX network
32417000-9,Multimédiás hálózat,Multimedia networks
32418000-6,Rádióhálózat,Radio network
32420000-3,Hálózati berendezések,Network equipment
32421000-0,Hálózati kábelek,Network cabling
32422000-7,Hálózati alkatrészek,Network components
32423000-4,Hálózati elosztófejek (hub),Network hubs
32424000-1,Hálózati infrastruktúra,Network infrastructure
32425000-8,Hálózati operációs rendszerek,Network operating system
32426000-5,Hálózati hirdetőrendszerek,Network publishing system
32427000-2,Hálózati rendszerek,Network system
32428000-9,"Hálózatbővítés, hálózatfejlesztés",Network upgrade
32429000-6,Távbeszélő-hálózati berendezések,Telephone network equipment
32430000-6,Nagy kiterjedésű hálózat (WAN),Wide area network
32440000-9,Távmérő berendezések és végberendezések,Telemetry and terminal equipment
32441000-6,Távmérő berendezések,Telemetry equipment
32441100-7,Távmérő felügyeleti rendszerek,Telemetry surveillance system
32441200-8,Távmérő és vezérlőberendezések,Telemetry and control equipment
32441300-9,Telematikai rendszerek,Telematics system
32442000-3,Végberendezések,Terminal equipment
32442100-4,Terminálkártyák,Terminal boards
32442200-5,Termináldobozok,Terminal boxes
32442300-6,Terminálemulátor,Terminal emulators
32442400-7,Terminálblokkok,Termination blocks
32500000-8,Távközlési berendezések és kellékek,Telecommunications equipment and supplies
32510000-1,Vezeték nélküli távközlési rendszerek,Wireless telecommunications system
32520000-4,Távközlési kábelek és berendezések,Telecommunications cable and equipment
32521000-1,Távközlési kábelek,Telecommunications cable
32522000-8,Távközlési berendezések,Telecommunications equipment
32523000-5,Távközlési létesítmények,Telecommunications facilities
32524000-2,Távközlési rendszerek,Telecommunications system
32530000-7,Műholdas távközlési berendezések,Satellite-related communications equipment
32531000-4,Műholdas hírközlési berendezések,Satellite communications equipment
32532000-1,Parabolaantennák,Satellite dishes
32533000-8,Műholdas földi állomások,Satellite earth stations
32534000-5,Műholdas platform,Satellite platforms
32540000-0,Kapcsolótáblák,Switchboards
32541000-7,Kapcsolótábla berendezései,Switchboard equipment
32542000-4,Kapcsolótábla-panelek,Switchboard panels
32543000-1,Telefonos kapcsolótáblák,Telephone switchboards
32544000-8,PABX berendezések,PABX equipment
32545000-5,PABX rendszerek,PABX systems
32546000-2,Digitális kapcsolóberendezések,Digital switching equipment
32546100-3,Digitális kapcsolótáblák,Digital switchboards
32547000-9,Vákuumos kapcsolótáblák,Vacuum switchboards
32550000-3,Távbeszélő-berendezések,Telephone equipment
32551000-0,Telefonkábel és kapcsolódó berendezések,Telephone cables and associated equipment
32551100-1,Telefoncsatlakozók,Telephone connections
32551200-2,Telefonközpontok,Telephone exchanges
32551300-3,Telefonos fejhallgatók,Telephone headsets
32551400-4,Telefonhálózat,Telephone network
32551500-5,Telefonkábelek,Telephone cables
32552000-7,Villamos berendezések vezetékes telefonhoz vagy távíróhoz,Electrical apparatus for line telephony or line telegraphy
32552100-8,Telefonkészülékek,Telephone sets
32552110-1,Vezeték nélküli telefonok,Cordless telephones
32552120-4,Segélykérő telefonok,Emergency telephones
32552130-7,Nyilvános telefonok,Public telephones
32552140-0,Pénzbedobós telefonok,Payphone equipment
32552150-3,Telefonok látássérülteknek,Telephones for visually-impaired
32552160-6,Telefonok hallássérülteknek,Telephones for hearing-impaired
32552200-9,Távnyomtatók,Teleprinters
32552300-0,Távbeszélő vagy távíró kapcsolóberendezések,Telephonic or telegraphic switching apparatus
32552310-3,Digitális telefonközpont,Digital telephone exchanges
32552320-6,"Multiplexelők, többcsatornás kapcsolatok",Multiplexers
32552330-9,Telefonközponti berendezések,Telephone switching apparatus
32552400-1,Hangfrekvenciás jelkonvertáló berendezések,Audio-frequency signal conversion apparatus
32552410-4,Modemek,Modems
32552420-7,Frekvenciaátalakítók,Frequency converter
32552430-0,Kódolóberendezések,Coding equipment
32552500-2,Teletextkészülékek,Teletext apparatus
32552510-5,Videotext-terminálok,Videotext terminals
32552520-8,Telexkészülékek,Telex equipment
32552600-3,Kaputelefonok,Entrance telephones
32553000-4,Villamos távbeszélő- és távíró-berendezések alkatrészei,Parts of electrical telephonic or telegraphic apparatus
32560000-6,Száloptikai anyagok,Fibre-optic materials
32561000-3,Száloptikai csatlakozók,Fibre-optic connections
32562000-0,Száloptikai kábelek,Optical-fibre cables
32562100-1,Száloptikai kábelek információátviteli célra,Optical-fibre cables for information transmission
32562200-2,Optikai távközlési kábelek,Optical telecommunication cables
32562300-3,Száloptikai kábelek adatátviteli célra,Optical-fibre cables for data transmission
32570000-9,Hírközlési berendezések,Communications equipment
32571000-6,Hírközlési infrastruktúra,Communications infrastructure
32572000-3,Hírközlési kábel,Communications cable
32572100-4,Több villamos vezetőből álló hírközlési kábel,Communications cable with multiple electrical conductors
32572200-5,Hírközlési kábel koaxiális vezetővel,Communications cable with coaxial conductors
32572300-6,Különleges alkalmazású hírközlési kábel,Communications cable for special applications
32573000-0,Hírközlési vezérlőberendezések,Communications control system
32580000-2,Adatfeldolgozó berendezések,Data equipment
32581000-9,Adatközlési berendezések,Data-communications equipment
32581100-0,Adatátviteli kábel,Data-transmission cable
32581110-3,Több villamos vezetőből álló adatátviteli kábel,Data-transmission cable with multiple electrical conductors
32581120-6,Adatátviteli kábel koaxiális vezetővel,Data-transmission cable with coaxial conductors
32581130-9,Különleges alkalmazású adatátviteli kábel,Data-transmission cable for special applications
32581200-1,Telefax-berendezés,Fax equipment
32581210-4,Tartozékok és alkatrészek telefax-berendezéshez,Accessories and components for fax equipment
32582000-6,Adathordozók,Data carriers
32583000-3,Adat- és hanghordozók,Data and voice media
32584000-0,Adathordozó anyagok,Data-bearing media
33000000-0,"Orvosi felszerelések, gyógyszerek és testápolási termékek","Medical equipments, pharmaceuticals and personal care products"
33100000-1,Orvosi felszerelések,Medical equipments
33110000-4,"Képalkotó berendezés orvosi, fogászati és állatorvosi használatra","Imaging equipment for medical, dental and veterinary use"
33111000-1,Röntgenberendezések,X-ray devices
33111100-2,Röntgenasztalok,X-ray table
33111200-3,Röntgen-munkaállomás,X-ray workstations
33111300-4,Röntgenfeldolgozó készülékek,X-ray processing devices
33111400-5,Röntgenátvilágítási berendezések,X-ray fluoroscopy devices
33111500-6,Fogröntgen,Dental X-ray
33111600-7,Radiográfiás készülékek,Radiography devices
33111610-0,Mágneses rezonancia feldolgozóegység,Magnetic resonance unit
33111620-3,Gammasugár-kamerák,Gamma cameras
33111640-9,Termográfok,Thermographs
33111650-2,Mammográfiai készülékek,Mammography devices
33111660-5,Csontsűrűségmérő berendezések,Bone densitometers
33111700-8,Angiográfiai szoba,Angiography room
33111710-1,Angiográfiai kellékek,Angiography supplies
33111720-4,Angiográfiai eszközök,Angiography devices
33111721-1,Digitális angiográfiai eszközök,Digital angiography devices
33111730-7,Angioplasztikai kellékek,Angioplasty supplies
33111740-0,Angioplasztikai eszközök,Angioplasty devices
33111800-9,Diagnosztikai röntgenrendszerek,Diagnostic X-ray system
33112000-8,"Echográf, ultrahangos és doppler képalkotó berendezések","Echo, ultrasound and doppler imaging equipment"
33112100-9,Ultrahangos szívdetektor,Ultrasonic heart detector
33112200-0,Ultrahangkészülék,Ultrasonic unit
33112300-1,Ultrahangos szkennerek,Ultrasound scanners
33112310-4,Színáramdoppler,Colour-flow doppler
33112320-7,Dopplerkészülék,Doppler equipment
33112330-0,Echoenkefalográf,Echoencephalographs
33112340-3,Echokardiográf,Echocardiographs
33113000-5,Mágneses rezonanciás képfeldolgozó berendezések,Magnetic resonance imaging equipment
33113100-6,Mágnesesrezonancia-szkennerek,Magnetic resonance scanners
33113110-9,Magmágnesesrezonanciajel-letapogató,Nuclear magnetic resonance scanners
33114000-2,Spektroszkópiai berendezések,Spectroscopy devices
33115000-9,Tomográfiai berendezések,Tomography devices
33115100-0,CT letapogató készülékek,CT scanners
33115200-1,CAT letapogató készülékek,CAT scanners
33120000-7,Rögzítőrendszerek és felderítőkészülékek,Recording systems and exploration devices
33121000-4,Ambuláns 24 órás monitorizáló rendszer,Long term ambulatory recording system
33121100-5,"Elektroencefalográfok, EEG-készülékek",Electro-encephalographs
33121200-6,Szcintigráfiai készülékek,Scintigraphy devices
33121300-7,Elektromiográfok,Electromyographs
33121400-8,Hallásvizsgáló készülékek,Audiometers
33121500-9,Elektrokardiogram,Electrocardiogram
33122000-1,Szemészeti berendezések,Ophthalmology equipment
33123000-8,Kardiovaszkuláris eszközök,Cardiovascular devices
33123100-9,Vérnyomásmérők,Tensiometer
33123200-0,Elektrokardiográfiai készülékek,Electrocardiography devices
33123210-3,Szívmegfigyelő készülékek,Cardiac-monitoring devices
33123220-6,Kardio-angiográfiás készülékek,Cardio-angiography devices
33123230-9,Kardiográfok,Cardiographs
33124000-5,Diagnosztikai és radiodiagnosztikai készülékek és kellékek,Diagnostics and radiodiagnostic devices and supplies
33124100-6,Diagnosztikai készülékek,Diagnostic devices
33124110-9,Diagnosztikai rendszerek,Diagnostic systems
33124120-2,Diagnosztikai ultrahangos eszközök,Diagnostic ultrasound devices
33124130-5,Diagnosztikai kellékek,Diagnostic supplies
33124131-2,Reagenscsíkok,Reagent strips
33124200-7,Radiodiagnosztikai készülékek,Radiodiagnostic devices
33124210-0,Radiodiagnosztikai kellékek,Radiodiagnostic supplies
33125000-2,Urológiai vizsgáló készülékek,"Urology, exploration devices"
33126000-9,Sztomatológiai készülékek,Stomatology devices
33127000-6,Immunanalizáló készülékek,Immuno-analysis devices
33128000-3,Nem sebészeti célú orvosi lézer,Medical laser other than for surgery
33130000-0,A fogászat és alágainak műszerei és eszközei,Dental and subspecialty instruments and devices
33131000-7,Fogászati kézi berendezések,Dental hand instrument
33131100-8,Szájsebészeti berendezések,Dental surgical instrument
33131110-1,"Fogászati csipeszek, kefék, szájterpeszek és csiszolók","Dental nippers, brushes, retractors and burnishers"
33131111-8,Fogászati csipeszek,Dental nippers
33131112-5,Fogászati kefék,Dental operative brushes
33131113-2,Fogászati szájterpeszek,Dental retractors
33131114-9,Fogászati csiszolók,Dental burnishers
33131120-4,"Fogászati kriosebészeti készülékek, mélységmérő eszközök, emelők és exkavátorok","Dental cryosurgical, gauges, elevators and excavators"
33131121-1,Fogászati kriosebészeti készülékek,Dental cryosurgical units
33131122-8,Fogászati mélységmérők,Dental depth gauges
33131123-5,Fogászati emelők,Dental elevators
33131124-2,Fogászati exkavátorok,Dental excavators
33131130-7,Fogászati ujjvédők és fogók,Dental fingers protectors and forceps
33131131-4,Fogászati ujjvédők,Dental fingers protectors
33131132-1,Fogászati fogók,Dental forceps
33131140-0,Fogászati tükrök és fúrók,Dental mirrors and reamers
33131141-7,Fogászati tükrök,Dental mirrors
33131142-4,Fogászati tágítók,Dental reamers
33131150-3,"Foggyökércsúcs-kezelők, fogkőkaparók és fogszínkulcsok","Dental root tip picks, scalers and scale"
33131151-0,Foggyökércsúcs-kezelők,Dental root tip picks
33131152-7,Fogászati fogkőkaparók,Dental scalers
33131153-4,Fogszínkulcs,Dental scale
33131160-6,Fogászati ollók és kések,Dental scissors and knives
33131161-3,Fogászati ollók,Dental scissors
33131162-0,Fogászati kések,Dental knives
33131170-9,"Fogászati spatulák, finomcsipeszek, viaszkések","Dental spatulas, tweezers and wax carvers"
33131171-6,Fogászati spatulák,Dental spatulas
33131172-3,Fogászati finomcsipeszek,Dental tweezers
33131173-0,Fogászati viaszkések,Dental wax carvers
33131200-9,Fogászati varrótűk,Dental suture needle
33131300-0,Eldobható fogászati berendezések,Dental disposable instrument
33131400-1,Fogszonda,Dental probe
33131500-2,Foghúzó készülékek,Dental extraction instrument
33131510-5,Fogászati fúrók,Dental drills
33131600-3,Fogtömő készülékek,Dental filling instrument
33132000-4,Fogászati implantátum,Dental implant
33133000-1,Fognyomatvételi tartozékok,Dental impression accessories
33134000-8,Endodontikai tartozékok,Endodontics accessories
33135000-5,Fogszabályozó eszközök,Orthodontic devices
33136000-2,Forgó- és csiszolóberendezések,Rotary and abrasive instrument
33137000-9,Fogászati profilaktikai tartozékok,Dental prophylaxis accessories
33138000-6,Fogpótlási és fogszabályozó eszközök,Prosthodontic and relining products
33138100-7,Műfogsorok,Dentures
33140000-3,Orvosi fogyóeszközök,Medical consumables
33141000-0,Nem vegyi egyszer használatos fogyóeszközök és hematológiai fogyóeszközök,Disposable non-chemical medical consumables and haematological consumables
33141100-1,"Kötszer; sebkapcsoló, sebvarró, érlekötő kellékek","Dressings; clip, suture, ligature supplies"
33141110-4,Kötszerek,Dressings
33141111-1,Tapadós felületű kötszerek,Adhesive dressings
33141112-8,Sebészeti gipszek,Plasters
33141113-4,"Sebpólyák, kötések",Bandages
33141114-2,Gyógyászati géz,Medical gauze
33141115-9,Gyógyászati vatta,Medical wadding
33141116-6,Kötszercsomagok,Dressing packs
33141117-3,Pamutvatta,Cotton wool
33141118-0,Törlőkendők,Wipes
33141119-7,Borogatások és nyomókötések,Compresses
33141120-7,"Sebkapcsoló, sebvarró, érlekötő kellékek","Clip, suture, ligature supplies"
33141121-4,Sebészi varratok,Surgical sutures
33141122-1,Sebészi kapcsok,Surgical staples
33141123-8,Sebvarrótűtartályok,Sharps containers
33141124-5,Sebészeti tűtartók,Sharps pads
33141125-2,Sebészeti varróanyagok,Material for surgical sutures
33141126-9,Érlekötések,Ligatures
33141127-6,Felszívódó vérzéscsillapítók,Absorbable haemostatics
33141128-3,Sebészeti varrótűk,Needles for sutures
33141200-2,Katéterek,Catheters
33141210-5,Ballonos katéterek,Balloon catheters
33141220-8,Kanülök,Cannulae
33141230-1,Tágító eszközök,Dilator
33141240-4,Katéter tartozékai,Catheter accessories
33141300-3,"Érbeszúrás, vérmintavételi eszközök","Venepuncture, blood sampling devices"
33141310-6,Fecskendők,Syringes
33141320-9,Orvosi tűk,Medical needles
33141321-6,Érzéstelenítő tűk,Anesthesia needles
33141322-3,Artériás tűk,Arterial needles
33141323-0,Biopsziás tűk,Biopsy needles
33141324-7,Dialízistűk,Dialysis needles
33141325-4,Fisztulatűk,Fistula needles
33141326-1,Tűk radiológiai eljárásokhoz,Radiology procedural needles
33141327-8,Üreges tűk,Vented needles
33141328-5,Epidurális tűk,Epidural needles
33141329-2,Magzatvíz-vizsgálati tűk,Amniocentesia needles
33141400-4,"Csípőfogó és szike, sebészeti kesztyűk",Wire-cutter and bistoury; surgical gloves
33141410-7,Csípőfogók és szikék,Wire-cutter and bistoury
33141411-4,Sebészkések és pengék,Scalpels and blades
33141420-0,Sebészeti kesztyűk,Surgical gloves
33141500-5,Hematológiai fogyóeszközök,Haematological consumables
33141510-8,Vérkészítmények,Blood products
33141520-1,Vérplazmakivonatok,Plasma extracts
33141530-4,Véralvasztó anyagok,Blood coagulants
33141540-7,Albumin,Albumin
33141550-0,Heparin,Heparin
33141560-3,Emberi szervek,Human organs
33141570-6,Emberi vér,Human blood
33141580-9,Állati vér,Animal blood
33141600-6,"Gyűjtő és gyűjtőtasak, dréncső és készlet","Collector and collection bags, drainage and kits"
33141610-9,Gyűjtőtasak,Collection bag
33141613-0,Vérzsák,Blood bags
33141614-7,Plazmazsák,Plasma bags
33141615-4,Vizeletzsák,Bags for urine
33141620-2,Gyógyászati készletek,Medical kits
33141621-9,Inkontinenciakészletek,Incontinence kit
33141622-6,AIDS-megelőző készletek,AIDS-prevention kits
33141623-3,Elsősegélydobozok,First-aid boxes
33141624-0,Gyógyszerbeadó készletek,Administration sets
33141625-7,Diagnosztikai készletek,Diagnostic kits
33141626-4,Adagolókészletek,Dosage kits
33141630-5,Vérplazmaszűrők,Blood plasma filters
33141640-8,Váladékelvezető cső,Drain
33141641-5,Szondák,Probes
33141642-2,Váladékelvezető cső tartozékai,Drain accessories
33141700-7,Ortopédiai kellékek,Orthopaedic supplies
33141710-0,Mankók,Crutches
33141720-3,Járókeretek,Walking aids
33141730-6,Sebészeti gallérok,Surgical collars
33141740-9,Ortopéd lábbelik,Orthopaedic footwear
33141750-2,Mesterséges ízület,Artificial joints
33141760-5,Rögzítőkötések,Splints
33141770-8,"Kellékek töréshez, tűk és lapok","Fracture appliances, pins and plates"
33141800-8,Fogászati fogyóeszközök,Dental consumables
33141810-1,Fogtömő anyagok,Dental filling materials
33141820-4,Fogak,Teeth
33141821-1,Műfog porcelánból,Porcelain teeth
33141822-8,Műfog akrilgyantából,Acrylic teeth
33141830-7,Cementalap,Cement base
33141840-0,Fogászati vérzéscsillapítók,Dental haemostatic
33141850-3,Fogtisztító termékek,Dental hygiene products
33141900-9,Vérvételi lándzsahegyek,Blood lancets
33150000-6,"Radioterápiás, mechanoterápiás, elektroterápiás és fizikoterápiás eszközök","Radiotherapy, mechanotherapy, electrotherapy and physical therapy devices"
33151000-3,Radioterápiás eszközök és kellékek,Radiotherapy devices and supplies
33151100-4,Gamma-terápiás eszközök,Gamma therapy devices
33151200-5,Röntgenterápiás eszközök,X-ray therapy devices
33151300-6,Spektográfok,Spectrographs
33151400-7,Radioterápiás kellékek,Radiotherapy supplies
33152000-0,Inkubátorok,Incubators
33153000-7,Kőzúzó műszer,Lithotripter
33154000-4,Mechanoterápiás eszközök,Mechanotherapy devices
33155000-1,Fizikoterápiás eszközök,Physical therapy devices
33156000-8,Pszichológiai tesztelő készülékek,Psychology testing devices
33157000-5,Gázterápiás és lélegeztetőkészülékek,Gas-therapy and respiratory devices
33157100-6,Gyógyászati gázmaszkok,Medical gas masks
33157110-9,Oxigénmaszk,Oxygen mask
33157200-7,Oxigénkészlet,Oxygen kits
33157300-8,Oxigénsátor,Oxygen tents
33157400-9,Gyógyászati légzőkészülékek,Medical breathing devices
33157500-0,Túlnyomásos kamrák,Hyperbaric chambers
33157700-2,Fújópalack,Blow bottle
33157800-3,Oxigénadagoló egység,Oxygen administration unit
33157810-6,Oxigénterápiás egység,Oxygen therapy unit
33158000-2,"Villamos, elektromágneses és mechanikai kezelés","Electrical, electromagnetic and mechanical treatment"
33158100-3,Elektromágneses egység,Electromagnetic unit
33158200-4,Elektroterápiás eszközök,Electrotherapy devices
33158210-7,Stimulátorok,Stimulator
33158300-5,Gyógyászati ultraibolya készülékek,Ultraviolet medical devices
33158400-6,Mechanikai terápiás egység,Mechanical therapy unit
33158500-7,Gyógyászati infravörös készülékek,Infrared medical devices
33159000-9,Klinikai kémiai rendszerek,Clinical chemistry system
33160000-9,Műtéti technikák,Operating techniques
33161000-6,Elektrosebészeti egység,Electrosurgical unit
33162000-3,Műtőtermi készülékek és műszerek,Operating theatre devices and instruments
33162100-4,Műtőtermi készülékek,Operating-theatre devices
33162200-5,Műtőtermi műszerek,Operating-theatre instruments
33163000-0,Gyógyászati felhasználású sátor,Tent for medical use
33164000-7,Hasi tükröző készülékek,Coelioscopy devices
33164100-8,Hüvelytükör,Colposcope
33165000-4,Kriosebészeti és krioterápiás készülékek,Cryosurgical and cryotherapy devices
33166000-1,Bőrgyógyászati készülékek,Dermatological devices
33167000-8,Sebészeti lámpák,Surgical lights
33168000-5,Endoszkópiás és endosebészeti készülékek,"Endoscopy, endosurgery devices"
33168100-6,Endoszkópok,Endoscopes
33169000-2,Sebészeti műszerek,Surgical instruments
33169100-3,Sebészeti lézer,Surgical laser
33169200-4,Sebészeten használt kosarak,Surgical baskets
33169300-5,Sebészeten használt tálcák,Surgical trays
